Recording SID,Duration,Date,Call SID
RE2dbb66e1946498e7c5c46dd875373388,48,2022-11-01 23:57:57+00:00,CA71835ea4a941c3f3ee53c87d74f18505
RE765fb8ab0cc80265dfcea7d394f5956b,1517,2022-11-02 00:03:19+00:00,CA0f742abeadb930f5c802a66be8814ddc
RE7f6f750a261de0026c19f3bcb60b4039,45,2022-11-01 23:30:40+00:00,CAbcd3bfce2dea703f259d3f75e03baf60
REe0cd00564f5c576c81d64d6fd28599d0,668,2022-11-01 23:31:07+00:00,CA121c59641773015632617688f93b5875
REd88d10ff41029292ef42e7c826d76db0,45,2022-11-01 23:19:19+00:00,CA12dcefb6268894d1b1d984a3897065d1
REd2591e44ccaa579423c472eac2307a94,12,2022-11-01 23:15:14+00:00,CAea7f070a3ff23a38929f54aee27d4e55
RE31d57f27f8b4b0499f92de3c042e477e,13,2022-11-01 23:14:30+00:00,CAeb22d9edf03d319bf71fb8167bf3d131
RE3e92b17b2f74af574728ad513b08f627,49,2022-11-01 23:14:27+00:00,CA4ba09c0a104c21dcda67a39df46617e8
RE36486885d0b3e5b7dd98d99fbccfc5bb,47,2022-11-01 23:13:48+00:00,CA33c6cc40ab88bda15600eeea40a5b11d
RE52a2961797021addf431d4a7917a9d30,2316,2022-11-01 23:39:25+00:00,CAa4f18869d9bce7cba39be875e7575b87
RE714462076cda467231c7816cd71405b1,13,2022-11-01 23:00:05+00:00,CA5bdb06c8ef785a39d1922945cf773ab8
RE4079d618eb2d7d616d3798e8b65f7e37,110,2022-11-01 22:51:49+00:00,CA7165144c859761da0e9976c99bb4fea7
REd3d0502b931a085ed6a257cd7755f95e,593,2022-11-01 22:57:21+00:00,CA6a9bc2b28182de4158d2255cd74807df
REe27ff4995159b4909c0867577b4f810c,182,2022-11-01 22:48:46+00:00,CA113a4874e7c79c3ff8f648601f2a95ae
RE5825da074832816ef6106630602c0059,47,2022-11-01 22:46:09+00:00,CA0c891da4902176b9b403e8b88ee0332d
RE3e83afd283a7d8e26cd2930d80189b74,12,2022-11-01 22:45:02+00:00,CAbdf360c1ef9333e8a93a5e97602028b4
RE29ba2703d24a4e9e26954c8f611ce147,216,2022-11-01 22:41:17+00:00,CA8c398f3afefd955b565b449c132fe7d1
REdcc16bfa76e6f50d326cca1f46ac5e2b,46,2022-11-01 22:38:22+00:00,CA53e1bc560c65c5793e8f2f0a5135807a
REc1aa8d28ae0a34ccd2a93c303ceb4a82,48,2022-11-01 22:34:02+00:00,CAd00caa9d372cff67db28c7bc239ec896
REe301a71d4937b2bc442c188b77acf929,35,2022-11-01 22:33:19+00:00,CA7567886c759aaf4c4427f47aef529d8e
REbad8749e1995b518fe71926a1ccef9b5,45,2022-11-01 22:30:12+00:00,CA7f73658f114103cdd0686deb911f3b0f
RE94d6979a7166c3c33328824e86efdd5d,48,2022-11-01 22:18:15+00:00,CA31741eca12011f6e338dc430145b3a43
RE6ff0fd5bd71604f559c66d8204c7e6ee,48,2022-11-01 22:16:19+00:00,CAaf95849b16c5b160ec064388b9c7adf9
RE1d6fccf037d7d9904162f63dced998a4,45,2022-11-01 22:15:50+00:00,CA2da5d24d8206f07fe8c5e56ec5453266
REad859bdd42a1248c5c8362031f5a98f2,46,2022-11-01 22:12:44+00:00,CA05801b537ee5963b3e695b60ddde248c
REd8a965f7d8b7335d1cbfa6291258435f,45,2022-11-01 22:11:04+00:00,CA0dafcaf76e8cdceedcfaf56d4d407adc
RE40f7aeba02a4698df04364d78c0faec4,47,2022-11-01 22:08:48+00:00,CA53f9ac4a8bd97794be1ea048fdba576a
